Random State,Train Accuracy,Train Macro Precision,Train Macro Recall,Train Macro F1-Score,Train AUC,Test Accuracy,Test Macro Precision,Test Macro Recall,Test Macro F1-Score,Test AUC,Training Time,Validation Time,Tuning Time,TP Train,TN Train,FP Train,FN Train,TP Test,TN Test,FP Test,FN Test
1,0.9960001344492622,0.9960013859887022,0.9959992834501774,0.9960001141633723,0.9959992834501774,0.9948629465511156,0.994861159581308,0.9948655063242475,0.9948628908116314,0.9948655063242476,25.35041904449463,3.009331703186035,129.9270589351654,29699,29565,133,105,12643,12727,74,57
2,0.9964202883936675,0.9964223416041609,0.9964184295909857,0.9964202096885688,0.9964184295909858,0.995137445590369,0.9951335317067062,0.9951408113016906,0.9951370184368362,0.9951408113016906,25.39063811302185,3.0561819076538086,126.5206835269928,29784,29505,119,94,12569,12808,67,57
3,0.996218614500353,0.9962197511399868,0.9962182368967109,0.9962186088087552,0.9962182368967107,0.9962354417473824,0.9962355800001137,0.9962362942496513,0.9962354407690501,0.9962362942496513,24.759159088134766,2.9770543575286865,127.46808338165283,29675,29602,131,94,12696,12709,57,39
4,0.9963194514470102,0.9963193587378807,0.9963204852581476,0.9963194489510256,0.9963204852581476,0.9960785851535234,0.9960798764019696,0.9960773620248391,0.9960785211785814,0.996077362024839,25.177227020263672,2.9857165813446045,129.34905815124512,29617,29666,130,89,12752,12649,54,46
5,0.9961513898692481,0.9961537372882745,0.9961496368415332,0.9961513423861856,0.9961496368415333,0.9957648719658052,0.9957610752895962,0.9957693639914987,0.9957647234675867,0.9957693639914987,25.953319549560547,2.98858904838562,128.86776471138,29741,29532,132,97,12621,12772,63,45
6,0.9965883499714295,0.9965888199781058,0.9965884199566006,0.9965883494616797,0.9965884199566006,0.9957256578173405,0.9957310609289921,0.995724877067357,0.9957256400442334,0.995724877067357,25.12999677658081,2.963531255722046,127.7478985786438,29661,29638,117,86,12722,12670,74,35
7,0.9966891869180868,0.9966902134554201,0.9966899895546077,0.9966891868722654,0.9966899895546076,0.9954511587780871,0.99545113761818,0.99545113761818,0.99545113761818,0.99545113761818,24.769174575805664,2.9500319957733154,126.61903214454651,29656,29649,127,70,12720,12665,58,58
8,0.9968068300225202,0.9968075231440305,0.9968072267843787,0.9968068298926465,0.9968072267843787,0.9951766597388337,0.9951808293571809,0.9951749995761954,0.9951766274297785,0.9951749995761953,25.06283688545227,2.9450294971466064,127.54546737670898,29662,29650,117,73,12722,12656,76,47
9,0.996302645289234,0.9963013616579484,0.9963051835317348,0.9963026242317173,0.9963051835317348,0.9965099407866358,0.9965199472809229,0.9965016399765008,0.9965096762674138,0.9965016399765008,25.06615972518921,2.969459295272827,128.3209011554718,29570,29712,134,86,12817,12595,58,31
10,0.9962018083425768,0.9962014189607333,0.9962024549570494,0.9962018007729723,0.9962024549570494,0.9961962275989177,0.9961993637459443,0.9961935951276286,0.9961961347339754,0.9961935951276285,25.11536693572998,2.9770097732543945,127.96531581878662,29596,29680,124,102,12765,12639,56,41
