Random State,Train Accuracy,Train Macro Precision,Train Macro Recall,Train Macro F1-Score,Train AUC,Test Accuracy,Test Macro Precision,Test Macro Recall,Test Macro F1-Score,Test AUC,Training Time,Validation Time,Tuning Time,TP Train,TN Train,FP Train,FN Train,TP Test,TN Test,FP Test,FN Test
1,0.9970589223891634,0.9970609211233881,0.9970577454160547,0.9970589049236265,0.9970577454160547,0.9955295870750167,0.9955282963821742,0.9955310700997153,0.9955295301475926,0.9955310700997154,0.31452322006225586,0.016060590744018555,139.73257517814636,29736,29591,107,68,12648,12739,62,52
2,0.9966387684447582,0.9966431503636832,0.9966354070239407,0.9966386829993253,0.9966354070239408,0.995647229520411,0.9956457131206446,0.9956479632873452,0.9956468244206602,0.9956479632873452,0.3106355667114258,0.01091456413269043,126.86342859268188,29801,29501,123,77,12572,12818,57,54
3,0.9974454640180161,0.9974500673389921,0.9974446292992551,0.9974454539715202,0.997444629299255,0.9959609427081291,0.9959664796318279,0.9959633679247506,0.9959609402237044,0.9959633679247505,0.29590535163879395,0.010106325149536133,130.33967447280884,29734,29616,117,35,12709,12689,77,26
4,0.9963194514470102,0.9963237728864519,0.996322315518501,0.9963194508970831,0.996322315518501,0.9954903729265518,0.9955055544733254,0.9954828598407925,0.995490225102142,0.9954828598407924,0.3296835422515869,0.011913776397705078,140.57732391357422,29653,29630,166,53,12766,12620,83,32
5,0.9974622701757924,0.9974635179297426,0.997461216404615,0.9974622429201675,0.997461216404615,0.996980510568213,0.9969758699099616,0.9969868752241753,0.9969804142833705,0.9969868752241752,0.3070235252380371,0.01008749008178711,142.01535844802856,29773,29578,86,65,12640,12784,51,26
6,0.9975799132802259,0.9975800213461455,0.9975799493896877,0.9975799132364789,0.9975799493896877,0.9961962275989177,0.9961977024701276,0.996195846786184,0.9961962216092775,0.996195846786184,0.32555341720581055,0.010754823684692383,146.8678593635559,29683,29675,80,64,12718,12686,58,39
7,0.9973614332291352,0.9973628971862327,0.9973623493191967,0.9973614330614528,0.9973623493191967,0.9956864436688757,0.9956901746750704,0.9956843937647439,0.9956864022708718,0.9956843937647439,0.2968485355377197,0.009955167770385742,132.49909710884094,29680,29665,111,46,12735,12656,67,43
8,0.9972774024402541,0.9972776390928477,0.9972776728019488,0.9972774024371782,0.9972776728019488,0.995137445590369,0.9951401368278652,0.995136183623121,0.995137419561434,0.9951361836231211,0.32787442207336426,0.01061248779296875,139.69785237312317,29669,29671,96,66,12718,12659,73,51
9,0.99742865786024,0.9974277492341201,0.9974325492206997,0.9974286479183228,0.9974325492206997,0.9960393710050586,0.9960484249765275,0.9960316424350755,0.9960390762050946,0.9960316424350754,0.3079707622528076,0.011232137680053711,134.749183177948,29616,29733,113,40,12810,12590,63,38
10,1.0,1.0,1.0,1.0,1.0,0.9956080153719462,0.9956090480772433,0.9956069079966148,0.9956079229176165,0.9956069079966148,0.3015613555908203,0.011963129043579102,132.49247813224792,29698,29804,0,0,12753,12636,59,53
