Random State,Train Accuracy,Train Macro Precision,Train Macro Recall,Train Macro F1-Score,Train AUC,Test Accuracy,Test Macro Precision,Test Macro Recall,Test Macro F1-Score,Test AUC,Training Time,Validation Time,Tuning Time,TP Train,TN Train,FP Train,FN Train,TP Test,TN Test,FP Test,FN Test
1,1.0,1.0,1.0,1.0,1.0,0.9999215717030705,0.9999218933062564,0.9999212598425197,0.9999215704235715,0.9999212598425197,0.11116361618041992,0.89133620262146,12.749392747879028,29804,29698,0,0,12698,12801,0,2
2,1.0,1.0,1.0,1.0,1.0,0.9998823575546057,0.9998835222860692,0.9998811975289086,0.9998823460653177,0.9998811975289086,0.10612249374389648,0.8614711761474609,10.956080913543701,29878,29624,0,0,12623,12875,0,3
3,1.0,1.0,1.0,1.0,1.0,0.9997647151092114,0.9997651111807078,0.9997644287396937,0.9997647146138936,0.9997644287396937,0.10833382606506348,0.7864029407501221,10.98181939125061,29769,29733,0,0,12729,12766,0,6
4,1.0,1.0,1.0,1.0,1.0,0.9998431434061409,0.9998426064373966,0.9998437255821222,0.9998431414086875,0.9998437255821222,0.10507345199584961,0.871863603591919,10.993920803070068,29706,29796,0,0,12794,12703,0,4
5,1.0,1.0,1.0,1.0,1.0,0.9998039292576761,0.9998052959501558,0.999802621190589,0.9998039201288048,0.999802621190589,0.1110541820526123,0.903296947479248,10.919190168380737,29838,29664,0,0,12661,12835,0,5
6,1.0,1.0,1.0,1.0,1.0,0.9999607858515352,0.9999607689289918,0.9999608058320921,0.9999607858428519,0.9999608058320921,0.10494637489318848,0.8407227993011475,10.970747947692871,29747,29755,0,0,12756,12744,0,1
7,1.0,1.0,1.0,1.0,1.0,0.9997647151092114,0.9997643176997407,0.9997652214744092,0.9997647142405043,0.9997652214744092,0.10580086708068848,0.8671741485595703,11.034496068954468,29726,29776,0,0,12772,12723,0,6
8,1.0,1.0,1.0,1.0,1.0,0.9997255009607466,0.9997252531595886,0.9997258986608192,0.9997255005808465,0.9997258986608192,0.10726284980773926,0.8705112934112549,11.038013696670532,29735,29767,0,0,12762,12732,0,7
9,1.0,1.0,1.0,1.0,1.0,0.9997647151092114,0.9997630144561183,0.999766500622665,0.9997647021843148,0.999766500622665,0.1059410572052002,0.7703742980957031,10.896899223327637,29656,29846,0,0,12842,12653,0,6
10,1.0,1.0,1.0,1.0,1.0,0.9996862868122819,0.9996851137526568,0.9996876464157427,0.9996862816942865,0.9996876464157427,0.10730361938476562,0.8448605537414551,11.11139988899231,29698,29804,0,0,12798,12695,0,8
