Random State,Train Accuracy,Train Macro Precision,Train Macro Recall,Train Macro F1-Score,Train AUC,Test Accuracy,Test Macro Precision,Test Macro Recall,Test Macro F1-Score,Test AUC,Training Time,Validation Time,Tuning Time,TP Train,TN Train,FP Train,FN Train,TP Test,TN Test,FP Test,FN Test
1,1.0,1.0,1.0,1.0,1.0,0.9975295086467197,0.9975277400842033,0.997532110249753,0.9975294818407082,0.997532110249753,16.4541597366333,0.39362478256225586,2085.034322500229,29804,29698,0,0,12677,12761,40,23
2,0.9999327753688951,0.9999327741438824,0.9999327741438824,0.9999327741438824,0.9999327741438823,0.9976079369436492,0.9976039073200509,0.9976119211551445,0.9976077285665703,0.9976119211551446,9.394438982009888,0.23099207878112793,2075.011120080948,29876,29622,2,2,12601,12839,36,25
3,1.0,1.0,1.0,1.0,1.0,0.997647151092114,0.9976482252564467,0.9976484823836087,0.997647151059551,0.9976484823836086,114.04051065444946,2.7125277519226074,2167.914697408676,29769,29733,0,0,12719,12722,44,16
4,0.9999663876844476,0.999966339033257,0.9999664384481138,0.9999663876109283,0.9999664384481138,0.997490294498255,0.9974916124943156,0.9974890909618113,0.997490253554292,0.9974890909618113,2.004392147064209,0.2528727054595947,2039.248407125473,29706,29794,2,0,12770,12667,36,28
5,0.9999831938422238,0.9999831451205123,0.9999832428446946,0.9999831937001542,0.9999832428446946,0.9980392925767617,0.9980350165524866,0.998044924062905,0.9980392274218033,0.998044924062905,2.5819108486175537,0.29996371269226074,2077.350099802017,29837,29664,0,1,12652,12799,36,14
6,1.0,1.0,1.0,1.0,1.0,0.9971373671620721,0.9971397716605295,0.997136866649434,0.9971373608055525,0.9971368666494341,69.5900206565857,1.645195722579956,2094.8597037792206,29747,29755,0,0,12733,12695,49,24
7,1.0,1.0,1.0,1.0,1.0,0.9972942237559311,0.9972949466846064,0.9972936191331465,0.9972942077616986,0.9972936191331464,67.8905656337738,1.6213839054107666,2069.345199584961,29726,29776,0,0,12747,12685,38,31
8,1.0,1.0,1.0,1.0,1.0,0.9970981530136073,0.9971030775769856,0.9970963262055175,0.9970981317683768,0.9970963262055175,9.61903166770935,1.1487784385681152,2064.54922580719,29735,29767,0,0,12748,12679,53,21
9,0.9999831938422238,0.9999832478976112,0.9999831400053951,0.9999831936690523,0.9999831400053951,0.9972942237559311,0.9972962918741153,0.997291966381306,0.9972940539677535,0.997291966381306,12.063633918762207,0.2849564552307129,2103.596330881119,29655,29846,0,1,12817,12615,38,31
10,1.0,1.0,1.0,1.0,1.0,0.9972942237559311,0.9972973934719187,0.997291612088342,0.997294157697364,0.9972916120883422,37.638378381729126,1.032407522201538,2097.0716133117676,29698,29804,0,0,12779,12653,42,27
