Random State,Train Accuracy,Train Macro Precision,Train Macro Recall,Train Macro F1-Score,Train AUC,Test Accuracy,Test Macro Precision,Test Macro Recall,Test Macro F1-Score,Test AUC,Training Time,Validation Time,Tuning Time,TP Train,TN Train,FP Train,FN Train,TP Test,TN Test,FP Test,FN Test
1,0.9998655507377904,0.999865391101773,0.9998657299479278,0.9998655503580414,0.9998657299479278,0.9974118662013255,0.9974101495650659,0.997414310643792,0.9974118374462191,0.997414310643792,373.4990735054016,1.6958773136138916,1246.5361816883087,29797,29697,1,7,12675,12760,41,25
2,0.9987731504823367,0.9987763171482473,0.9987706171268063,0.9987731215399662,0.9987706171268063,0.9972942237559311,0.9972914641432442,0.997296646310049,0.9972939800605478,0.9972966463100491,383.2551794052124,1.7468571662902832,1324.676956653595,29859,29570,54,19,12595,12837,38,31
3,0.9998823568955665,0.9998823133826497,0.9998824280291578,0.9998823568676218,0.9998824280291578,0.9975687227951845,0.9975695607581823,0.9975699586301732,0.9975687227017171,0.9975699586301733,370.7551827430725,1.7316982746124268,1282.4437568187714,29762,29733,0,7,12717,12722,44,18
4,0.9998655507377904,0.9998657232007342,0.9998653979084977,0.9998655503878138,0.9998653979084978,0.9975687227951845,0.9975708658043887,0.9975669359943018,0.99756867999011,0.9975669359943018,366.7123029232025,1.6687748432159424,1289.3700001239777,29699,29795,1,7,12773,12666,37,25
5,0.9992605290578468,0.9992608370458748,0.9992602278571818,0.9992605222906785,0.9992602278571818,0.9978432218344379,0.9978390670604436,0.9978485848177727,0.9978431491855257,0.9978485848177726,113.4429726600647,1.8727407455444336,1043.5011286735535,29819,29639,25,19,12649,12797,38,17
6,0.999680683002252,0.9996807264554346,0.9996806671794509,0.9996806829819592,0.9996806671794509,0.9972550096074664,0.997258354811871,0.9972544091716616,0.9972550018026165,0.9972544091716616,365.5425992012024,1.6340970993041992,1242.6897203922272,29734,29749,6,13,12737,12694,50,20
7,0.9999495815266713,0.9999496289331409,0.9999495391239992,0.9999495814866697,0.9999495391239992,0.9974118662013255,0.9974124665149673,0.9974113467023923,0.9974118513920278,0.9974113467023923,361.1928360462189,1.6815791130065918,1283.5325133800507,29723,29776,0,3,12748,12687,36,30
8,0.9996470706866996,0.999647129824744,0.9996470253931,0.9996470705502325,0.9996470253931,0.9967452256774244,0.9967509273468997,0.9967432274358107,0.9967451997311556,0.9967432274358107,383.27017998695374,1.6996605396270752,1312.820166349411,29722,29759,8,13,12745,12673,59,24
9,0.9998151322644617,0.9998157885922899,0.9998145400593472,0.9998151301548862,0.9998145400593472,0.9970197247166778,0.9970228192526186,0.9970165516543263,0.9970195321071584,0.9970165516543263,384.061514377594,1.7052738666534424,1327.860696554184,29645,29846,0,11,12815,12610,43,33
10,0.9997479076333569,0.9997482217506922,0.9997476373780855,0.9997479066916974,0.9997476373780855,0.9972550096074664,0.9972584417686845,0.9972522265034661,0.9972549415235359,0.9972522265034662,301.69344878196716,1.583970069885254,1196.1236417293549,29686,29801,3,12,12779,12652,43,27
