Random State,Train Accuracy,Train Macro Precision,Train Macro Recall,Train Macro F1-Score,Train AUC,Test Accuracy,Test Macro Precision,Test Macro Recall,Test Macro F1-Score,Test AUC,Training Time,Validation Time,Tuning Time,TP Train,TN Train,FP Train,FN Train,TP Test,TN Test,FP Test,FN Test
1,1,1,1,1,1,1,1,1,1,1,2.883150578,0.034121752,93.51840425,29804,29698,0,0,12700,12801,0,0
2,1,1,1,1,1,1,1,1,1,1,4.83763814,0.026358128,70.5672884,29878,29624,0,0,12626,12875,0,0
3,1,1,1,1,1,1,1,1,1,1,1.737886667,0.029876232,71.76433778,29769,29733,0,0,12735,12766,0,0
4,1,1,1,1,1,1,1,1,1,1,6.822660923,0.033231974,96.23703313,29706,29796,0,0,12798,12703,0,0
5,1,1,1,1,1,1,1,1,1,1,1.100965023,0.025087357,66.6772542,29838,29664,0,0,12666,12835,0,0
6,1,1,1,1,1,1,1,1,1,1,14.48204255,0.030736923,93.1007638,29747,29755,0,0,12757,12744,0,0
7,1,1,1,1,1,1,1,1,1,1,2.142196655,0.024809599,65.23120856,29726,29776,0,0,12778,12723,0,0
8,1,1,1,1,1,1,1,1,1,1,11.00237298,0.055263042,79.5851843,29748,29754,0,0,12756,12745,0,0
9,1,1,1,1,1,1,1,1,1,1,43.32246137,0.036406517,181.8949966,29656,29846,0,0,12848,12653,0,0
10,1,1,1,1,1,1,1,1,1,1,3.436151505,0.027000427,68.52335858,29698,29804,0,0,12806,12695,0,0
