Random State,Train Accuracy,Train Macro Precision,Train Macro Recall,Train Macro F1-Score,Train AUC,Test Accuracy,Test Macro Precision,Test Macro Recall,Test Macro F1-Score,Test AUC,Training Time,Validation Time,Tuning Time,TP Train,TN Train,FP Train,FN Train,TP Test,TN Test,FP Test,FN Test
1,1.0,1.0,1.0,1.0,1.0,0.997647151092114,0.9976457087468134,0.9976489779649351,0.9976471224328576,0.9976489779649351,2.0534162521362305,0.04129767417907715,325.59521770477295,29804,29698,0,0,12676,12765,36,24
2,1.0,1.0,1.0,1.0,1.0,0.9981961491706207,0.9981912555277017,0.9982013382771566,0.9981959959706066,0.9982013382771566,0.8286924362182617,0.029935359954833984,324.89224314689636,29878,29624,0,0,12610,12845,30,16
3,0.9999831938422238,0.9999831842335374,0.9999832040041654,0.9999831938364089,0.9999832040041654,0.9980785067252265,0.998078585123856,0.9980793142808356,0.9980785061460904,0.9980793142808355,0.9448730945587158,0.03098011016845703,320.99074268341064,29768,29733,0,1,12719,12733,33,16
4,0.9999831938422238,0.9999831689500791,0.999983219224057,0.9999831938046239,0.9999832192240569,0.998000078428297,0.9980024523349991,0.9979981515257079,0.9980000425564414,0.997998151525708,0.2180194854736328,0.0259706974029541,321.29075384140015,29706,29795,1,0,12779,12671,32,19
5,0.999596652213371,0.9995965528881873,0.9995967470565433,0.9995966488430049,0.9995967470565433,0.9983922199129446,0.9983878321133202,0.9983981267912876,0.9983921672103289,0.9983981267912876,0.6038939952850342,0.017815828323364258,328.98211121559143,29825,29653,11,13,12657,12803,32,9
6,0.9995630398978186,0.9995630376362683,0.999563044409071,0.9995630398933755,0.999563044409071,0.9979216501313674,0.9979252074521902,0.9979210298780612,0.9979216439439291,0.9979210298780612,0.6115915775299072,0.021167516708374023,327.5857570171356,29735,29741,14,12,12746,12702,42,11
7,0.9996470706866996,0.9996470332106953,0.9996471128045608,0.9996470704664979,0.9996471128045608,0.9977647935375084,0.9977657855302472,0.9977640219504543,0.9977647794586997,0.9977640219504544,0.6649811267852783,0.01781773567199707,325.52577781677246,29717,29764,12,9,12754,12690,33,24
8,1.0,1.0,1.0,1.0,1.0,0.9976079369436492,0.9976126203153295,0.9976061681055972,0.9976079199346362,0.9976061681055972,0.9883718490600586,0.04305410385131836,322.7634449005127,29735,29767,0,0,12754,12686,46,15
9,1.0,1.0,1.0,1.0,1.0,0.998000078428297,0.9980028869630767,0.9979972625721197,0.9979999504351637,0.9979972625721197,0.7701961994171143,0.0216062068939209,324.58530735969543,29656,29846,0,0,12827,12623,30,21
10,0.9995630398978186,0.9995632381525583,0.9995628588742655,0.9995630383496572,0.9995628588742657,0.9981177208736912,0.9981206574972249,0.998115295502299,0.9981176756464534,0.998115295502299,0.8619177341461182,0.0263824462890625,321.57348346710205,29682,29794,10,16,12789,12664,31,17
